country,squad_strength,attack,midfield,defence,gk,n_players,n_unavailable
Spain,84.53,86.33,87.0,82.75,85.0,12,0
France,84.41,87.67,83.25,84.75,87.0,12,0
England,83.83,86.0,86.75,81.75,84.0,12,0
Argentina,83.44,87.67,85.0,81.6,87.0,12,0
Brazil,83.38,86.0,82.67,83.25,88.0,12,0
Portugal,83.15,83.67,86.0,83.5,85.0,12,0
Germany,82.95,83.0,86.0,82.5,83.0,12,0
Netherlands,82.2,81.33,84.67,83.2,81.0,12,0
Morocco,81.16,81.0,80.6,82.25,84.0,12,0
Belgium,81.1,82.33,82.5,78.25,89.0,12,0
Uruguay,80.33,79.0,83.0,81.0,78.0,12,0
Turkey,80.18,81.0,81.6,79.25,79.0,12,0
Colombia,79.51,82.33,80.0,78.75,78.0,12,0
Japan,79.44,81.5,80.67,78.5,81.0,12,0
Norway,79.31,85.5,80.2,77.0,77.0,12,0
Croatia,79.22,77.67,81.25,79.75,81.0,12,0
Sweden,79.19,85.33,79.0,77.0,79.0,12,0
Senegal,78.97,79.8,78.25,80.5,82.0,12,0
South Korea,78.93,80.67,79.0,79.0,78.0,12,0
Ghana,78.92,80.25,82.0,77.5,76.0,12,0
Ivory Coast,78.9,80.0,80.33,79.0,78.0,12,0
United States,78.67,80.67,79.25,78.5,78.0,12,0
Switzerland,78.66,78.67,78.75,79.0,83.0,12,0
Scotland,78.62,77.33,80.5,79.25,78.0,12,0
Algeria,78.15,80.33,78.5,77.75,76.0,12,0
Ecuador,77.99,76.5,80.0,80.75,76.0,12,0
Austria,77.85,78.5,79.2,78.0,76.0,12,0
Mexico,77.74,80.0,79.0,76.75,78.0,12,0
Canada,77.37,81.0,78.67,78.0,75.5,12,0
Egypt,77.01,81.75,75.67,75.25,78.0,12,0
DR Congo,76.71,78.2,75.5,76.5,76.0,12,0
Czech Republic,76.54,78.0,77.4,75.33,78.0,12,0
Bosnia and Herzegovina,76.38,77.25,76.0,76.67,76.0,12,0
Iran,76.25,78.25,75.5,75.67,78.0,12,0
Saudi Arabia,75.75,76.0,76.75,75.2,78.0,12,0
Tunisia,75.7,75.67,76.25,75.5,76.0,12,0
Uzbekistan,75.12,75.33,75.75,75.25,76.0,12,0
Qatar,74.76,79.5,74.0,74.75,76.0,12,0
Paraguay,74.75,77.67,75.5,74.0,73.0,12,0
New Zealand,74.73,75.67,74.5,74.75,76.0,12,0
Panama,74.7,74.5,75.67,75.0,76.0,12,0
South Africa,74.63,74.67,75.0,73.5,80.0,12,0
Jordan,74.18,75.67,73.75,73.75,75.0,12,0
Cape Verde,74.11,74.5,74.5,74.2,74.0,12,0
Iraq,73.87,74.67,74.5,73.0,74.0,12,0
Australia,73.2,72.33,73.75,73.5,78.0,12,0
Haiti,72.65,73.33,72.75,72.75,74.0,12,0
Curacao,72.2,73.33,74.0,71.0,74.0,12,0
